Zipcode,Population,Poverty Level
60653,34502,66.4
60621,47514,60.68
60624,45647,54.54
60609,79469,53.99
60637,57090,49.15
60623,108144,45.39
60612,37990,45.09
60636,51451,44.65
60644,59059,42.22
60651,77583,38.82
60649,54823,34.35
60608,92472,33.53
60616,47073,32.84
60607,15552,31.17
60647,98769,29.81
60617,96288,27.82
60628,87827,27.66
60615,45096,27.1
60640,74030,27.01
60622,76015,26.29
60626,59251,26.12
60620,85771,25.03
60619,74963,22.64
60610,47513,22.02
60632,87577,21.32
60629,113984,20.86
60625,91351,20.34
60639,92951,20.19
60660,47726,19.56
60618,98147,17.73
60659,39155,17.71
60645,44197,16.78
60661,4382,15.55
60605,12423,14.99
60643,52568,14.84
60602,70,12.76
60641,73824,12.43
60633,13262,12.38
60613,50548,11.32
60638,55788,10.95
60652,39126,9.4
60657,66789,8.42
60614,65474,8.32
60634,74164,7.48
60630,54781,7.31
60611,26522,6.72
60656,27129,6.17
60601,5591,5.68
60646,27016,5.62
60655,29138,4.45
60631,28832,4.3
60606,1682,2.19
60603,378,0
60604,78,0
60076,31393,7.9
60402,62729,8.1
60642,20191,5.4
60302,31568,4.4
60707,42434,4.2
60654,20812,1.4
62656,19113,10.8
