Camera,Timestamp,Year,Month,Total Offenses,Total Unique Offenders,New Offenders This Month,Repeat Offenders,Repeat Offenders Within The Year,Repeat Offenders Within Past 6 Months,Repeat Offenders Within The Month
10318 S INDIANAPOLIS,1,2014,2,764,665,665,99,99,99,99
10318 S INDIANAPOLIS,2,2014,3,3658,2827,2162,732,732,732,535
10318 S INDIANAPOLIS,3,2014,4,7155,5181,2354,1143,1143,1143,494
10318 S INDIANAPOLIS,4,2014,5,10305,7227,2046,1104,1104,1104,327
10318 S INDIANAPOLIS,5,2014,6,12779,8907,1680,794,794,794,230
10318 S INDIANAPOLIS,6,2014,7,14818,10245,1338,701,701,701,170
10318 S INDIANAPOLIS,7,2014,8,16964,11716,1471,675,675,675,163
10318 S INDIANAPOLIS,8,2014,9,19186,13179,1463,759,759,755,231
10318 S INDIANAPOLIS,9,2014,10,21242,14552,1373,683,683,644,173
10318 S INDIANAPOLIS,10,2014,11,22999,15758,1206,551,551,503,109
10318 S INDIANAPOLIS,11,2014,12,24363,16695,937,427,427,384,71
10318 S INDIANAPOLIS,12,2015,1,25579,17530,835,381,381,313,73
10318 S INDIANAPOLIS,13,2015,2,26531,18158,628,324,324,268,73
10318 S INDIANAPOLIS,14,2015,3,28063,19214,1056,476,475,383,110
10318 S INDIANAPOLIS,15,2015,4,29709,20331,1117,529,511,421,115
10318 S INDIANAPOLIS,16,2015,5,31509,21538,1207,593,561,443,142
10318 S INDIANAPOLIS,17,2015,6,32793,22406,868,416,395,322,79
10318 S INDIANAPOLIS,18,2015,7,34206,23364,958,455,429,360,133
10318 S INDIANAPOLIS,19,2015,8,35592,24242,878,508,468,406,91
10318 S INDIANAPOLIS,20,2015,9,36499,24879,637,270,243,208,33
10318 S INDIANAPOLIS,21,2015,10,37595,25623,744,352,309,265,72
10318 S INDIANAPOLIS,22,2015,11,38316,26142,519,202,171,145,27
10318 S INDIANAPOLIS,23,2015,12,39109,26679,537,256,218,175,31
10318 S INDIANAPOLIS,24,2016,1,39881,27220,541,231,191,149,52
10318 S INDIANAPOLIS,25,2016,2,40629,27747,527,221,176,139,34
10318 S INDIANAPOLIS,26,2016,3,41370,28285,538,203,169,128,34
10318 S INDIANAPOLIS,27,2016,4,42688,29151,866,452,384,301,103
10318 S INDIANAPOLIS,28,2016,5,44009,30025,874,447,381,325,77
10318 S INDIANAPOLIS,29,2016,6,45292,30901,876,407,323,291,93
10318 S INDIANAPOLIS,30,2016,7,46482,31705,804,386,320,269,65
10318 S INDIANAPOLIS,31,2016,8,47506,32388,683,341,278,251,47
10318 S INDIANAPOLIS,32,2016,9,48723,33219,831,386,316,278,95
10318 S INDIANAPOLIS,33,2016,10,49946,34044,825,398,321,292,71
10318 S INDIANAPOLIS,34,2016,11,51124,34817,773,405,324,296,62
10318 S INDIANAPOLIS,35,2016,12,52196,35484,667,405,329,288,60
10318 S INDIANAPOLIS,36,2017,1,53163,36139,655,312,254,211,40
10318 S INDIANAPOLIS,37,2017,2,54145,36797,658,324,260,218,48
10318 S INDIANAPOLIS,38,2017,3,55193,37519,722,326,272,220,57
10318 S INDIANAPOLIS,39,2017,4,56322,38246,727,402,336,287,84
10318 S INDIANAPOLIS,40,2017,5,57312,38904,658,332,269,233,44
10318 S INDIANAPOLIS,41,2017,6,58500,39714,810,378,321,270,67
10318 S INDIANAPOLIS,42,2017,7,59746,40552,838,408,320,277,64
10318 S INDIANAPOLIS,43,2017,8,61033,41437,885,402,322,269,64
10318 S INDIANAPOLIS,44,2017,9,62625,42519,1082,510,388,328,94
10318 S INDIANAPOLIS,45,2017,10,63273,42965,446,202,161,142,18
10318 S INDIANAPOLIS,46,2017,11,65144,44273,1308,563,429,344,107
10318 S INDIANAPOLIS,47,2017,12,66126,44944,671,311,242,204,30
10318 S INDIANAPOLIS,48,2018,1,67000,45520,576,298,229,183,39
10318 S INDIANAPOLIS,49,2018,2,68127,46273,753,374,289,245,62
10318 S INDIANAPOLIS,50,2018,3,69927,47487,1214,586,468,407,110
10318 S INDIANAPOLIS,51,2018,4,71388,48475,988,473,381,308,79
10318 S INDIANAPOLIS,51,2018,5,71388,48475,0,0,0,0,0
1110 S PULASKI RD,1,2014,10,246,242,242,4,4,4,4
1110 S PULASKI RD,2,2014,11,495,474,232,17,17,17,8
1110 S PULASKI RD,3,2014,12,667,639,165,7,7,7,2
1110 S PULASKI RD,4,2015,1,948,901,262,19,19,19,10
1110 S PULASKI RD,5,2015,2,1178,1118,217,13,13,13,3
1110 S PULASKI RD,6,2015,3,1596,1504,386,32,32,32,8
1110 S PULASKI RD,7,2015,4,1902,1779,275,31,31,31,7
1110 S PULASKI RD,8,2015,5,2337,2182,403,32,32,31,10
1110 S PULASKI RD,9,2015,6,2756,2545,363,56,56,53,15
1110 S PULASKI RD,9,2015,7,2756,2545,0,0,0,0,0
1110 S PULASKI RD,9,2015,8,2756,2545,0,0,0,0,0
1110 S PULASKI RD,10,2015,9,3182,2922,377,49,49,47,26
1110 S PULASKI RD,11,2015,10,3549,3250,328,39,39,37,7
1110 S PULASKI RD,12,2015,11,3698,3382,132,17,17,14,3
1110 S PULASKI RD,13,2015,12,3776,3452,70,8,8,7,1
1110 S PULASKI RD,14,2016,1,3881,3549,97,8,8,8,0
1110 S PULASKI RD,15,2016,2,4036,3693,144,11,10,8,2
1110 S PULASKI RD,16,2016,3,4183,3819,126,21,21,16,4
1110 S PULASKI RD,17,2016,4,4296,3916,97,16,14,12,3
1110 S PULASKI RD,18,2016,5,4393,4001,85,12,9,4,3
1110 S PULASKI RD,19,2016,6,4505,4099,98,14,14,10,0
1110 S PULASKI RD,19,2016,7,4505,4099,0,0,0,0,0
1110 S PULASKI RD,19,2016,8,4505,4099,0,0,0,0,0
1110 S PULASKI RD,20,2016,9,4761,4319,220,36,33,24,12
1110 S PULASKI RD,21,2016,10,4957,4496,177,19,17,13,1
1110 S PULASKI RD,22,2016,11,5081,4606,110,14,13,12,1
1110 S PULASKI RD,23,2016,12,5206,4711,105,20,18,15,4
1110 S PULASKI RD,24,2017,1,5256,4754,43,7,6,6,1
1110 S PULASKI RD,25,2017,2,5370,4861,107,7,5,1,1
1110 S PULASKI RD,26,2017,3,5558,5038,177,11,10,7,1
1110 S PULASKI RD,27,2017,4,5648,5119,81,9,7,6,1
1110 S PULASKI RD,28,2017,5,5884,5334,215,21,19,15,3
1110 S PULASKI RD,29,2017,6,6062,5484,150,28,22,18,2
1110 S PULASKI RD,29,2017,7,6062,5484,0,0,0,0,0
1110 S PULASKI RD,29,2017,8,6062,5484,0,0,0,0,0
1110 S PULASKI RD,30,2017,9,6292,5690,206,24,21,18,7
1110 S PULASKI RD,31,2017,10,6495,5869,179,24,22,22,7
1110 S PULASKI RD,32,2017,11,6603,5962,93,15,13,12,0
