Zipcode,Violations
60630,250898
60641,192396
60628,111143
60614,107264
60637,101251
60610,90231
60622,87826
60618,86855
60620,82874
60609,81120
60617,71388
60623,65235
60653,58903
60608,57096
60617,56335
60605,54028
60629,50122
60634,47892
60076,42122
60632,41437
60636,37167
60659,35000
60645,34633
60624,34512
60402,32786
60625,30711
60651,29175
60646,27459
60613,27101
60660,24993
60620,24568
60612,24153
60656,24087
60611,20489
60649,19112
60632,18542
60605,15122
60625,14831
60619,14398
60631,14288
60642,13964
60652,13174
60302,13139
60649,12993
60657,12585
60607,10422
60659,10096
60655,9950
60637,9037
60644,8758
60618,7469
60639,7061
60640,5816
60621,5687
60639,4096
60707,2300
60654,1869
62656,1527
